" is out of stock!","er utsolgt!"
"Product {productName} has been removed from compare!","Produktet {productName} er fjernet fra sammenligning!"
"Product {productName} has been removed from wishlist!","Produktet {productName} er fjernet fra ønskelisten!"
"Quantity available offline","Mengde (offline modus)"
"Quantity available","Mengde ({qty} tilgjengelig)"
"Quantity must be above 0","Mengden må være over 0"
"Quantity must be below {quantity}","Mengden må være under {quantity}"
"Quantity must be positive integer","Mengde må være positivt heltall"
"Registering the account ...","Registrerer kontoen ..."
"Reset password feature does not work while offline!","Tilbakestill passordfunksjonen fungerer ikke mens du er frakoblet!"
"Review","Anmeldelse"
"Reviews","anmeldelser"
"Select 0","Velg 0"
"Select 1","Velg 1"
"Shopping cart is empty. Please add some products before entering Checkout","Handlekurven er tom. Legg til noen produkter før du går inn i kassen"
"Some of the ordered products are not available!","Noen av de bestilte produktene er ikke tilgjengelige!"
"Stock check in progress, please wait while available stock quantities are checked","Aksjekontroll pågår, vent mens tilgjengelige lagermengder er sjekket"
"Subtotal incl. tax","Subtotal inkl. avgift"
"Summary","Sammendrag"
"The product is out of stock and cannot be added to the cart!","Produktet er utsolgt og kan ikke legges i handlekurven!"
"The product, category or CMS page is not available in Offline mode. Redirecting to Home.","Produkt-, kategori- eller CMS-siden er ikke tilgjengelig i frakoblet modus. Omdirigerer til hjemmet."
"The system is not sure about the stock quantity (volatile). Product has been added to the cart for pre-reservation.","Systemet er ikke sikker på lagermengden (flyktig). Produktet er lagt i handlekurven for forhåndsreservering."
"There is no Internet connection. You can still place your order. We will notify you if any of ordered products is not available because we cannot check it right now.","Det er ingen Internett-tilkobling. Du kan fremdeles legge inn bestillingen. Vi vil varsle deg hvis noen av bestilte produkter ikke er tilgjengelige fordi vi ikke kan sjekke det akkurat nå."
"This feature is not implemented yet! Please take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap!","Denne funksjonen er ikke implementert ennå! Ta en titt på https://github.com/DivanteLtd/vue-storefront/issues for vårt veikart!"
"Thumbnail","thumbnail"
"Type what you are looking for...","Skriv det du leter etter ..."
"Unexpected authorization error. Check your Network conection.","Uventet autorisasjonsfeil. Sjekk nettverkstilkoblingen."
"Unhandled error, wrong response format!","Uhåndtert feil, galt svarformat!"
"Vue Storefront"," ""Vue Storefront"""
"You are going to pay for this order upon delivery.","Du kommer til å betale for denne bestillingen ved levering."
"You are logged in!","Du er logget inn!"
"You are to pay for this order upon delivery.","Du skal betale for denne bestillingen ved levering."
"You need to be logged in to see this page","Du må være logget inn for å se denne siden"
"You submitted your review for moderation.","Du sendte inn anmeldelsen din for moderering."
"You're logged out","Du er logget av"
"email","e-post"
"have as many","har like mange"
"login","Logg Inn"
"most you may purchase","det meste du kjøper"
"not authorized","ikke autorisert"
"password","passord"
"to account","til konto"
